"Jewelers Pickleball League
  2026",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Schedule,Team,Team,Category,Points,Court,Details
,2,7,AA,3,15,
,3,6,AA,3,8,
,4,5,AA,3,13,
,1,8,CW,3,17,
,2,7,CW,3,16,
,3,6,CW,3,11,
,4,5,CW,3,18,
BREAK (15 Mins),,,,,,
5.15-5.45,QF1,QF4,AB,2,11,SEMIS
,QF2,QF3,AB,2,16,
,QF1,QF4,CC,2,18,
,QF2,QF3,CC,2,17,
,QF1,QF4,WW,2,7,
,QF2,QF3,WW,2,5,
5.45-6.15,QF1,QF4,BB,3,11,
,QF2,QF3,BB,3,16,
,QF1,QF4,AA,3,18,
,QF2,QF3,AA,3,17,
,QF1,QF4,CW,3,7,
,QF2,QF3,CW,3,5,
BREAK (15 Mins),,,,,,
6.30-7.00,SF1,SF2,AB,2,11,FINALS
,SF1,SF2,CC,2,18,
7.00-7.30,SF1,SF2,WW,2,7,
,SF1,SF2,BB,3,11,
7.30-8.00,SF1,SF2,AA,3,18,
,SF1,SF2,CW,3,7,
,,,,,,
,,,,,,
,,,,,,
"Randomly assign a unique number between 1 and 14 to the following teams: Giants, Modani Mavericks, Sanghavi Smashers, Dink Dawgs, Dink Responsibly, Pickle Pals, Maru Royals, Paddle Battle, Legends, Paramount Rangers, Su's Crew, Grand Slammers, Pickle Ballers, Smash Bros.",,,,,,
,,,,,,
,,,,,,
,GOLD SPONSOR,,,,,
,ALOK MEHTA,,iDD,,,
,,,,,,
,SILVER SPONSOR,,,,,
,AKSHAT SANGHAVI,,SHINEBRIGHT,,,
,,,,,,
,WATER SPONSOR,,,,,
,VIK JAIN,,VLORA,,,
,,,,,,
,MVP SPONSOR,,,,,
,KAMAL MOHIDEEN,,AP MANAGEMENT,,,
,,,,,,
,FOOD SPONSORS,,,,,
,ANISH GANGWAL,,AASPIRE NY INC,,,
,NILESH SHAH,,ASHI,,,
,PRASHANT PRAJAPATI,,PRAJAPATI & COMPANY CPAs LLP,,,
,RINKU GHIA,,KP SANGHVI,,,
,SARJU SHAH,,JEWEL SOURCE INC,,,
,VINAY BARMECHA,,NIRU NY LTD,,,
,,,,,,
,REFEREE SPONSOR,,,,,
,JENIL SHAH / NIYATI JODHANI,,KULINKUMAR HOLIDAYS,,,
